handle,party_id,ideological_lean,party_id_label,ideological_lean_label,total_posts,n_days_observed
tw_user_2293,0.0,-3.0,Independent,1 Very liberal,2262,737
tw_user_7503,2.0,2.0,Not very strong Republican,6 Conservative,1351,737
tw_user_3023,-3.0,-3.0,Strong Democrat,1 Very liberal,479,737
tw_user_5782,3.0,2.0,Strong Republican,6 Conservative,1300,737
tw_user_7686,-3.0,-3.0,Strong Democrat,1 Very liberal,896,737
tw_user_1036,0.0,0.0,Independent,4 Middle of the road,268,737
tw_user_2582,-1.0,-1.0,Closer to the Democratic party,3 Somewhat liberal,38,737
tw_user_7153,-2.0,-1.0,Not very strong Democrat,3 Somewhat liberal,1555,737
tw_user_6042,-3.0,-3.0,Strong Democrat,1 Very liberal,979,737
tw_user_4119,-2.0,-1.0,Not very strong Democrat,3 Somewhat liberal,5539,737
tw_user_6153,3.0,3.0,Strong Republican,7 Very conservative,1031,737
tw_user_7745,,-3.0,Other party,1 Very liberal,483,737
tw_user_2455,-3.0,-3.0,Strong Democrat,1 Very liberal,909,737
tw_user_9921,-1.0,-1.0,Closer to the Democratic party,3 Somewhat liberal,277,737
tw_user_1481,,0.0,No party,4 Middle of the road,781,737
tw_user_4556,-3.0,-3.0,Strong Democrat,1 Very liberal,281,737
tw_user_1769,-3.0,-2.0,Strong Democrat,2 Liberal,229,737
tw_user_8575,-3.0,-3.0,Strong Democrat,1 Very liberal,818,737
tw_user_2168,-3.0,-2.0,Strong Democrat,2 Liberal,862,737
tw_user_7331,0.0,-1.0,Independent,3 Somewhat liberal,3658,737
tw_user_1226,-1.0,-1.0,Closer to the Democratic party,3 Somewhat liberal,233,737
tw_user_1957,,-3.0,Other party,1 Very liberal,2446,737
tw_user_6419,-3.0,-2.0,Strong Democrat,2 Liberal,177,737
tw_user_1600,3.0,2.0,Strong Republican,6 Conservative,1227,737
tw_user_8151,-3.0,-3.0,Strong Democrat,1 Very liberal,26204,737
tw_user_8178,-3.0,0.0,Strong Democrat,4 Middle of the road,4824,737
tw_user_1477,0.0,-1.0,Independent,3 Somewhat liberal,72,737
tw_user_5248,2.0,1.0,Not very strong Republican,5 Somewhat conservative,139,737
tw_user_7956,-3.0,-3.0,Strong Democrat,1 Very liberal,2830,737
tw_user_4733,3.0,0.0,Strong Republican,4 Middle of the road,205,737
tw_user_9603,-1.0,-3.0,Closer to the Democratic party,1 Very liberal,227,737
tw_user_5771,-3.0,-3.0,Strong Democrat,1 Very liberal,385,737
tw_user_2899,-1.0,0.0,Closer to the Democratic party,4 Middle of the road,629,737
tw_user_2618,-3.0,-3.0,Strong Democrat,1 Very liberal,582,737
tw_user_4474,0.0,0.0,Independent,4 Middle of the road,736,737
tw_user_3416,-1.0,-3.0,Closer to the Democratic party,1 Very liberal,6281,737
tw_user_6737,-3.0,-2.0,Strong Democrat,2 Liberal,63,737
tw_user_5284,-3.0,2.0,Strong Democrat,6 Conservative,66,737
tw_user_1705,-3.0,0.0,Strong Democrat,4 Middle of the road,90,737
tw_user_9792,-2.0,-2.0,Not very strong Democrat,2 Liberal,735,737
tw_user_8701,-3.0,-2.0,Strong Democrat,2 Liberal,738,737
tw_user_1524,-3.0,-2.0,Strong Democrat,2 Liberal,297,737
tw_user_3635,3.0,3.0,Strong Republican,7 Very conservative,434,737
tw_user_4026,3.0,3.0,Strong Republican,7 Very conservative,1301,737
tw_user_8446,3.0,-2.0,Strong Republican,2 Liberal,22,737
tw_user_8661,-2.0,-2.0,Not very strong Democrat,2 Liberal,211,737
tw_user_5623,-1.0,-2.0,Closer to the Democratic party,2 Liberal,27,737
tw_user_1358,-3.0,-3.0,Strong Democrat,1 Very liberal,398,737
